Address_place,  города Искитима Новосибирской области
Address_street, улица   Алтайская с № 19 по № 77 130
Address_street, улица   Алтайская с № 19 по № 77 131
Address_street, улица   Алтайская с № 19 по № 77 132
Address_street, улица   Алтайская с № 19 по № 77 133
Address_street, улица   Алтайская с № 19 по № 77 134
Address_street, улица   Алтайская с № 19 по № 77 135
Address_street, улица   Алтайская с № 19 по № 77  Толстого
Precinct_number,1376
Precinct_place, город Искитим ул.Коммунистическая59 (помещение муниципального автономного образовательного учреждения дополнительного образования «Центр дополнительного образования» 
Precinct_address, ул.Коммунистическая 59 (помещение муниципального автономного образовательного учреждения дополнительного образования «Центр дополнительного образования» 
Address_street, улица  Заводская нечетные с № 1 по № 53 40
Address_street, улица  Заводская нечетные с № 1 по № 53 41
Address_street, улица  Заводская нечетные с № 1 по № 53 42
Address_street, улица  Заводская нечетные с № 1 по № 53 43
Address_street, улица  Заводская нечетные с № 1 по № 53 44
Address_street, улица  Заводская нечетные с № 1 по № 53 45
Address_street, улица  Заводская нечетные с № 1 по № 53 46
Address_street, улица  Заводская нечетные с № 1 по № 53 47
Address_street, улица  Заводская нечетные с № 1 по № 53 48
Address_street, улица  Заводская нечетные с № 1 по № 53 49
Address_street, улица  Заводская нечетные с № 1 по № 53 50
Address_street, улица  Заводская нечетные с № 1 по № 53 51
Address_street, улица  Заводская нечетные с № 1 по № 53 52
Address_street, улица  Заводская нечетные с № 1 по № 53 53
Address_street, улица  Заводская нечетные с № 1 по № 53 54
Address_street, улица  Заводская нечетные с № 1 по № 53 55
Address_street, улица  Заводская нечетные с № 1 по № 53 5
Address_street, улица  Заводская нечетные с № 1 по № 53 6
Address_street, улица  Заводская нечетные с № 1 по № 53 7
Address_street, улица  Заводская нечетные с № 1 по № 53 8
Address_street, улица  Заводская нечетные с № 1 по № 53 9
Address_street, улица  Заводская нечетные с № 1 по № 53 10
Address_street, улица  Заводская нечетные с № 1 по № 53 11
Address_street, улица  Заводская нечетные с № 1 по № 53 12
Address_street, улица  Заводская нечетные с № 1 по № 53 13
Address_street, улица  Заводская нечетные с № 1 по № 53 14
Address_street, улица  Заводская нечетные с № 1 по № 53 15
Address_street, улица  Заводская нечетные с № 1 по № 53 16
Address_street, улица  Заводская нечетные с № 1 по № 53 17
Address_street, улица  Заводская нечетные с № 1 по № 53 18
Address_street, улица  Заводская нечетные с № 1 по № 53 136
Address_street, улица  Заводская нечетные с № 1 по № 53 137
Address_street, улица  Заводская нечетные с № 1 по № 53 138
Address_street, улица  Заводская нечетные с № 1 по № 53 139
Address_street, улица  Заводская нечетные с № 1 по № 53 140
